landkreis,euro1,euro2,euro3,euro4,euro5,euro6,euro6dt,euro6d,sonstigeemissionsgruppen
"Freudenstadt, Landkreis",731,3941,4950,19290,21520,19739,5506,134,1250
"Freiburg im Breisgau, kreisfreie Stadt",1678,7678,8192,24222,21903,20709,6315,194,2449
"Breisgau-Hochschwarzwald, Landkreis",2496,11611,13329,43532,42199,34422,7252,149,3902
"Emmendingen, Landkreis",1551,7883,8890,29478,26360,20321,4327,74,2195
Ortenaukreis,4044,20118,23582,76578,70200,58962,14279,270,5201
"Rottweil, Landkreis",1003,4601,5994,23753,26278,24395,6023,102,1756
Schwarzwald-Baar-Kreis,1331,6204,8311,32417,37130,35072,8802,140,2481
"Tuttlingen, Landkreis",864,3757,5268,20774,24913,25162,6332,179,1493
"Konstanz, Landkreis",2103,9797,12240,43234,41958,38265,8846,178,3653
"Lörrach, Landkreis",1914,8615,10669,36561,36664,32041,6961,153,3054
"Waldshut, Landkreis",1236,5867,8011,28181,30558,25996,5445,145,2076
"Reutlingen, Landkreis",1923,9759,11546,45011,48483,46635,12755,387,3650
"Tübingen, Landkreis",1373,7420,8601,32394,33218,31267,8948,339,2513
Zollernalbkreis,1223,6430,8069,31091,35245,34313,9056,184,2448
"Ulm, kreisfreie Stadt",616,2969,3782,15723,16796,19179,6077,215,1325
Alb-Donau-Kreis,1292,6343,8169,34069,36274,31805,7300,154,2478
"Biberach, Landkreis",1275,6509,8878,35665,38076,31594,6613,145,2535
Bodenseekreis,1837,8550,10240,35172,35542,33366,9518,287,3739
"Ravensburg, Landkreis",1931,10380,13302,48203,49246,42521,10003,248,4188
"Sigmaringen, Landkreis",859,4586,5892,22856,24449,21108,4838,224,1543
"Ingolstadt, kreisfreie Stadt",1161,4554,4606,17695,17896,20986,28421,222,5266
"München, kreisfreie Stadt",9363,33003,39577,137930,148572,197762,147033,4759,22245
"Rosenheim, kreisfreie Stadt",358,1723,2346,8648,9365,9187,2450,74,706
"Altötting, Landkreis",642,3403,4674,18387,20406,17788,4296,62,1388
"Berchtesgadener Land, Landkreis",724,2898,3748,15600,18445,17872,4339,94,1531
"Bad Tölz-Wolfratshausen, Landkreis",879,3818,5158,18785,22817,21310,5364,119,1947
"Dachau, Landkreis",1005,4549,6102,23156,24929,24029,6474,184,2050
"Ebersberg, Landkreis",843,3933,5014,19345,23586,23993,5836,109,2153
"Eichstätt, Landkreis",1049,5210,5293,21206,23374,21903,4180,41,1921
"Erding, Landkreis",901,4112,5640,22325,25509,23057,5723,216,1721
"Freising, Landkreis",1253,5478,7484,27015,29956,28368,6683,149,2717
"Fürstenfeldbruck, Landkreis",1492,6387,8122,30667,32944,32165,8248,145,2797
"Garmisch-Partenkirchen, Landkreis",678,2689,3512,12315,14811,13471,3211,85,1151
"Landsberg am Lech, Landkreis",989,4064,5356,19883,21971,20859,6086,115,2398
"Miesbach, Landkreis",799,2927,3794,13835,18237,18976,5248,129,1928
"Mühldorf am Inn, Landkreis",777,3983,5259,19974,20764,17780,4304,142,1372
"München, Landkreis",2394,8887,11750,42853,54473,83643,28636,461,11416
"Neuburg-Schrobenhausen, Landkreis",750,4107,4882,17566,17616,15422,3308,67,1419
"Pfaffenhofen an der Ilm, Landkreis",961,4743,5913,21128,22836,21005,4993,114,1794
"Rosenheim, Landkreis",1922,8561,11110,42680,47535,43186,11105,195,4353
"Starnberg, Landkreis",1266,4039,5056,17740,22964,25665,7090,149,3299
"Traunstein, Landkreis",1336,5696,7391,29452,33145,29038,7088,192,2847
"Weilheim-Schongau, Landkreis",1167,5024,6462,22502,24641,21033,4702,90,2257
"Landshut, kreisfreie Stadt",382,1767,2375,9366,10055,9752,2809,202,768
"Passau, kreisfreie Stadt",309,1384,1729,6427,7379,8321,2514,36,505
"Straubing, kreisfreie Stadt",245,1259,1806,7141,7213,7257,2136,51,457
"Deggendorf, Landkreis",636,3721,4901,20025,22932,20237,4519,86,1087
"Freyung-Grafenau, Landkreis",519,2854,3184,13054,15136,14027,3045,40,698
"Kelheim, Landkreis",729,3921,5198,20609,22943,20921,4242,90,1580
"Landshut, Landkreis",1064,5681,7626,28388,30443,26498,6492,163,1976
